Fas	Fas	NN	B-NP	B-protein	Mention 3	
)	)	)	O	O	
and	and	CC	O	O	
ET	ET	NN	B-NP	B-protein	
(	(	(	O	I-protein	
B	B	NN	B-NP	I-protein	
)	)	)	O	I-protein	
receptor	receptor	NN	B-NP	I-protein	
agonist	agonist	NN	I-NP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
Ca2+-free	Ca2+-free	JJ	B-NP	O	
medium	medium	NN	I-NP	O	
,	,	,	O	O	
ryanodine	ryanodine	NN	B-NP	O	Mention 89	
(	(	(	O	O	
10	10	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
,	,	,	O	O	
which	which	WDT	B-NP	O	
inhibits	inhibit	VBZ	B-VP	O	
intracellular	intracellular	JJ	B-NP	O	Mention 90	
calcium	calcium	NN	I-NP	O	
mobilization	mobilization	NN	I-NP	O	
,	,	,	O	O	
reduced	reduce	VBD	B-VP	O	
sarafotoxin	sarafotoxin	NN	B-NP	O	
S6c-	S6c-	NN	I-NP	O	
and	and	CC	O	O	
ET-1-induced	ET-1-induced	JJ	B-NP	O	
responses	response	NNS	I-NP	O	
,	,	,	O	O	
but	but	CC	O	O	
was	be	VBD	B-VP	O	
without	without	IN	B-PP	O	
effect	effect	NN	B-NP	O	
on	on	IN	B-PP	O	
responses	response	NNS	B-NP	O	
to	to	TO	B-PP	O	
KCl	KCl	NN	B-NP	B-protein	
.	.	.	O	O	
Similarly	Similarly	RB	B-ADVP	O	
,	,	,	O	O	
nickel	nickel	NN	B-NP	O	Mention 91	
chloride	chloride	NN	I-NP	O	
(	(	(	O	O	
Ni2+	Ni2+	JJ	B-NP	O	
;	;	:	O	O	
1	1	CD	B-NP	O	
mM	mM	NN	I-NP	O	
)	)	)	O	O	
caused	cause	VBD	B-VP	O	
marked	marked	JJ	B-NP	O	
inhibition	inhibition	NN	I-NP	O	
of	of	IN	B-PP	O	
contractions	contraction	NNS	B-NP	O	Mention 92	
induced	induce	VBN	B-VP	O	
by	by	IN	B-PP	O	
sarafotoxin	sarafotoxin	NN	B-NP	O	
S6c	S6c	NN	I-NP	O	
or	or	CC	I-NP	O	
ET-1	ET-1	NN	I-NP	B-protein	
,	,	,	O	O	
but	but	CC	O	O	
had	have	VBD	B-VP	O	
no	no	DT	B-NP	O	
significant	significant	JJ	I-NP	O	
effect	effect	NN	I-NP	O	
on	on	IN	B-PP	O	
KCI	KCI	NN	B-NP	O	Mention 93	
concentration-response	concentration-response	JJ	I-NP	O	
curves	curve	NNS	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	
mixed	mixed	JJ	I-NP	O	
ET	ET	NN	I-NP	O	Mention 94	
(	(	(	O	O	
A	A	NN	B-NP	O	
)	)	)	O	O	
/ET	/ET	NN	B-NP	B-protein	
(	(	(	O	I-protein	
B	B	NN	B-NP	I-protein	
)	)	)	O	I-protein	
receptor	receptor	NN	B-NP	I-protein	
antagonist	antagonist	NN	I-NP	O	
SB	SB	NN	I-NP	O	Mention 95	
209670	209670	CD	I-NP	O	
(	(	(	O	O	
3	3	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
inhibited	inhibit	VBD	B-VP	O	
responses	response	NNS	B-NP	O	Mention 96	
to	to	TO	B-PP	O	
sarafotoxin	sarafotoxin	NN	B-NP	O	
S6c	S6c	NN	I-NP	O	
and	and	CC	I-NP	O	
ET-1	ET-1	NN	I-NP	B-protein	
such	such	JJ	B-NP	O	
that	that	IN	I-NP	O	
concentration-response	concentration-response	JJ	B-NP	O	
curves	curve	NNS	I-NP	O	
were	be	VBD	B-VP	O	
shifted	shift	VBN	I-VP	O	
rightward	rightward	RB	B-ADVP	O	
,	,	,	O	O	
at	at	IN	B-PP	O	
the	the	DT	B-NP	O	
30	30	CD	I-NP	O	
%	%	NN	I-NP	O	
maximum	maximum	NN	I-NP	O	
response	response	NN	I-NP	O	
level	level	NN	I-NP	O	
,	,	,	O	O	
by	by	IN	B-PP	O	
10	10	CD	B-NP	O	
.	.	.	O	O	
0-	0-	CD	B-NP	O	
and	and	CC	I-NP	O	
3	3	CD	I-NP	O	
.	.	.	O	O	
8-fold	8-fold	RB	B-ADVP	O	
,	,	,	O	O	
respectively	respectively	RB	B-ADVP	O	
,	,	,	O	O	
whereas	whereas	IN	O	O	
BQ-123	BQ-123	NN	B-NP	O	Mention 97	
(	(	(	O	O	
3	3	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
ET	ET	NN	I-NP	O	Mention 98	
(	(	(	O	O	
A	A	NN	B-NP	O	
)	)	)	O	O	
receptor	receptor	NN	B-NP	O	
antagonist	antagonist	NN	I-NP	O	
,	,	,	O	O	
was	be	VBD	B-VP	O	
without	without	IN	B-PP	O	
effect	effect	NN	B-NP	O	
on	on	IN	B-PP	O	
response	response	NN	B-NP	O	
induced	induce	VBN	B-VP	O	
by	by	IN	B-PP	O	
either	either	DT	B-NP	O	
agonist	agonist	NN	I-NP	O	
.	.	.	O	O	
ET-1	ET-1	NN	B-NP	B-protein	
(	(	(	O	O	
1	1	CD	B-NP	O	
nM-0	nM-0	NN	I-NP	O	
.	.	.	O	O	
3	3	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
caused	cause	VBD	B-VP	O	
a	a	DT	B-NP	O	
concentration-dependent	concentration-dependent	JJ	I-NP	O	
stimulation	stimulation	NN	I-NP	O	
of	of	IN	B-PP	O	
PI	PI	NN	B-NP	O	
turnover	turnover	NN	I-NP	O	
,	,	,	O	O	
whereas	whereas	IN	O	O	
sarafotoxin	sarafotoxin	NN	B-NP	O	
S6c	S6c	NN	I-NP	O	
(	(	(	O	O	
0	0	CD	B-NP	O	
.	.	.	O	O	
3	3	CD	B-NP	O	
nM-0	nM-0	NN	I-NP	O	
.	.	.	O	O	
1	1	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
induced	induce	VBD	B-VP	O	
only	only	RB	B-NP	O	
small	small	JJ	I-NP	O	
and	and	CC	I-NP	O	
variable	variable	JJ	I-NP	O	
increases	increase	NNS	I-NP	O	
,	,	,	O	O	
except	except	IN	B-PP	O	
at	at	IN	B-PP	O	
the	the	DT	B-NP	O	
highest	high	JJS	I-NP	O	
concentration	concentration	NN	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	Mention 99	
increase	increase	NN	I-NP	O	
in	in	IN	B-PP	O	
PI	PI	NN	B-NP	O	
turnover	turnover	NN	I-NP	O	
evoked	evoke	VBN	B-VP	O	
by	by	IN	B-PP	O	
ET-1	ET-1	NN	B-NP	B-protein	
was	be	VBD	B-VP	O	
inhibited	inhibit	VBN	I-VP	O	
by	by	IN	B-PP	O	
SB	SB	NN	B-NP	O	Mention 100	
209670	209670	CD	I-NP	O	
(	(	(	O	O	
3	3	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
,	,	,	O	O	
and	and	CC	O	O	
also	also	RB	B-ADVP	O	
by	by	IN	B-PP	O	
BQ-123	BQ-123	NN	B-NP	O	Mention 101	
(	(	(	O	O	
3	3	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
.	.	.	O	O	
This	This	DT	B-NP	O	
is	be	VBZ	B-VP	O	
consistent	consistent	JJ	B-ADJP	O	
with	with	IN	B-PP	O	
linkage	linkage	NN	B-NP	O	
of	of	IN	B-PP	O	
ET	ET	NN	B-NP	B-protein	
(	(	(	O	I-protein	
A	A	NN	B-NP	I-protein	
)	)	)	O	I-protein	
receptors	receptor	NNS	B-NP	I-protein	
to	to	TO	B-PP	O	
activation	activation	NN	B-NP	O	
of	of	IN	B-PP	O	
inositol	inositol	NN	B-NP	O	
phosphate	phosphate	NN	I-NP	O	
generation	generation	NN	I-NP	O	
in	in	IN	B-PP	O	
human	human	JJ	B-NP	B-cell_type	
bronchial	bronchial	JJ	I-NP	I-cell_type	
smooth	smooth	JJ	I-NP	I-cell_type	
muscle	muscle	NN	I-NP	I-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
.	.	.	O	O	
Collectively	Collectively	RB	B-ADVP	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
data	datum	NNS	I-NP	O	
suggest	suggest	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
differences	difference	NNS	B-NP	O	
exist	exist	VBP	B-VP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
relative	relative	JJ	I-NP	O	
contributions	contribution	NNS	I-NP	O	
of	of	IN	B-PP	O	
intracellular	intracellular	JJ	B-NP	O	
and	and	CC	I-NP	O	
extracellular	extracellular	JJ	I-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
mobilization	mobilization	NN	I-NP	O	
mechanisms	mechanism	NNS	I-NP	O	
elicited	elicit	VBN	B-VP	O	
by	by	IN	B-PP	O	
ET	ET	NN	B-NP	O	
(	(	(	O	O	
A	A	NN	B-NP	O	
)	)	)	O	O	
and	and	CC	O	O	
ET	ET	NN	B-NP	B-protein	
(	(	(	O	I-protein	
B	B	NN	B-NP	I-protein	
)	)	)	O	I-protein	
receptor	receptor	NN	B-NP	I-protein	
activation	activation	NN	I-NP	O	
.	.	.	O	O	
Thus	Thus	RB	B-ADVP	O	
,	,	,	O	O	
sarafotoxin	sarafotoxin	NN	B-NP	O	
S6c-induced	S6c-induced	JJ	I-NP	O	
,	,	,	O	O	
ET	ET	NN	B-NP	O	Mention 102	
(	(	(	O	O	
B	B	NN	B-NP	O	
)	)	)	O	O	
receptor-mediated	receptor-mediated	JJ	B-NP	O	
contraction	contraction	NN	I-NP	O	
in	in	IN	B-PP	O	
human	human	JJ	B-NP	O	
bronchial	bronchial	JJ	I-NP	O	
smooth	smooth	JJ	I-NP	O	
muscle	muscle	NN	I-NP	O	
appears	appear	VBZ	B-VP	O	
to	to	TO	I-VP	O	
be	be	VB	I-VP	O	
dependent	dependent	JJ	B-ADJP	O	
,	,	,	O	O	
in	in	IN	B-PP	O	
part	part	NN	B-NP	O	
,	,	,	O	O	
upon	upon	IN	B-PP	O	
extracellular	extracellular	JJ	B-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
,	,	,	O	O	
although	although	IN	B-SBAR	O	
a	a	DT	B-NP	O	
significant	significant	JJ	I-NP	O	
component	component	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	Mention 103	
response	response	NN	I-NP	O	
was	be	VBD	B-VP	O	
also	also	RB	I-VP	O	
mediated	mediate	VBN	I-VP	O	
by	by	IN	B-PP	O	
intracellular	intracellular	JJ	B-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
release	release	NN	I-NP	O	
,	,	,	O	O	
including	include	VBG	B-PP	O	
from	from	IN	B-PP	O	
ryanodine-sensitive	ryanodine-sensitive	JJ	B-NP	B-DNA	
stores	store	NNS	I-NP	I-DNA	
.	.	.	O	O	
ET	ET	NN	B-NP	O	
(	(	(	I-NP	O	
A	A	NN	I-NP	O	
)	)	)	I-NP	O	
receptor-mediated	receptor-mediated	JJ	I-NP	O	
contraction	contraction	NN	I-NP	O	
of	of	IN	B-PP	O	
human	human	JJ	B-NP	O	
airway	airway	NN	I-NP	O	
smooth	smooth	JJ	I-NP	O	
muscle	muscle	NN	I-NP	O	
was	be	VBD	B-VP	O	
activated	activate	VBN	I-VP	O	
largely	largely	RB	B-ADVP	O	
via	via	IN	B-PP	O	
the	the	DT	B-NP	O	
release	release	NN	I-NP	O	
of	of	IN	B-PP	O	
intracellular	intracellular	JJ	B-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
.	.	.	O	O	
Epidepride	Epidepride	NN	B-NP	O	
[	[	(	O	O	
(	(	(	O	O	
S	S	NN	B-NP	O	
)	)	)	O	O	
-	-	HYPH	O	O	
(	(	(	O	O	
-	-	SYM	O	O	
)	)	)	O	O	
-N-	-N-	NN	B-NP	O	
(	(	(	O	O	
[	[	(	O	O	
1-ethyl-2-pyrrolidinyl	1-ethyl-2-pyrrolidinyl	NN	B-NP	O	
]	]	)	I-NP	O	
methyl	methyl	NN	I-NP	O	
)	)	)	O	O	
-5-iodo-2	-5-iodo-2	CD	B-NP	O	
,	,	,	O	O	
3-dimethoxybenza	3-dimethoxybenza	NN	B-NP	O	
mide	mide	NN	I-NP	O	
]	]	)	O	O	
binds	bind	VBZ	B-VP	O	
with	with	IN	B-PP	O	
a	a	DT	B-NP	O	
picomolar	picomolar	JJ	I-NP	O	
affinity	affinity	NN	I-NP	O	
(	(	(	O	O	
Ki	Ki	NN	B-NP	O	
=	=	SYM	B-VP	O	
24	24	CD	B-NP	O	
pM	pM	NN	I-NP	O	
)	)	)	O	O	
to	to	TO	B-PP	O	
the	the	DT	B-NP	O	
dopamine	dopamine	NN	I-NP	B-protein	
D2	D2	NN	I-NP	I-protein	
receptor	receptor	NN	I-NP	I-protein	
.	.	.	O	O	
Iodine-123-labeled	Iodine-123-labeled	JJ	B-NP	O	
epidepride	epidepride	NN	I-NP	O	
has	have	VBZ	B-VP	O	
been	be	VBN	I-VP	O	
used	use	VBN	I-VP	O	
previously	previously	RB	B-ADVP	O	
to	to	TO	B-VP	O	
study	study	VB	I-VP	O	
striatal	striatal	JJ	B-NP	O	
and	and	CC	I-NP	O	
extrastriatal	extrastriatal	JJ	I-NP	B-protein	
dopamine	dopamine	NN	I-NP	I-protein	
D2	D2	NN	I-NP	I-protein	
receptors	receptor	NNS	I-NP	I-protein	
with	with	IN	B-PP	O	
single	single	JJ	B-NP	O	
photon	photon	NN	I-NP	O	
emission	emission	NN	I-NP	O	
computed	compute	VBN	B-VP	O	
tomography	tomography	NN	B-NP	O	
(	(	(	O	O	
SPECT	SPECT	NN	B-NP	O	
)	)	)	O	O	
.	.	.	O	O	
Our	Our	PRP$	B-NP	O	
aim	aim	NN	I-NP	O	
was	be	VBD	B-VP	O	
to	to	TO	B-VP	O	
label	label	VB	I-VP	O	
epidepride	epidepride	NN	B-NP	O	
with	with	IN	B-PP	O	
carbon-11	carbon-11	NN	B-NP	B-protein	
for	for	IN	B-PP	O	
comparative	comparative	JJ	B-NP	O	
quantitative	quantitative	JJ	I-NP	O	
studies	study	NNS	I-NP	O	
between	between	IN	B-PP	O	
positron	positron	NN	B-NP	O	
emission	emission	NN	I-NP	O	
tomography	tomography	NN	I-NP	O	
(	(	(	O	O	
PET	PET	NN	B-NP	B-protein	
)	)	)	O	O	
and	and	CC	O	O	
SPECT	SPECT	NN	B-NP	O	
.	.	.	O	O	
Epidepride	Epidepride	NN	B-NP	O	
was	be	VBD	B-VP	O	
synthesized	synthesize	VBN	I-VP	O	
from	from	IN	B-PP	O	
its	its	PRP$	B-NP	O	
bromo-analogue	bromo-analogue	JJ	I-NP	O	
FLB	FLB	NN	I-NP	O	
457	457	CD	I-NP	O	
via	via	IN	B-PP	O	
the	the	DT	B-NP	O	
corresponding	correspond	VBG	I-NP	O	
trimethyl-tin	trimethyl-tin	NN	I-NP	O	
derivative	derivative	NN	I-NP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
an	an	DT	B-NP	O	
alternative	alternative	JJ	I-NP	O	
synthetic	synthetic	JJ	I-NP	O	
pathway	pathway	NN	I-NP	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
corresponding	correspond	VBG	I-NP	O	
substituted	substitute	VBN	B-VP	O	
benzoic	benzoic	JJ	B-NP	O	
acid	acid	NN	I-NP	O	
was	be	VBD	B-VP	O	
reacted	react	VBN	I-VP	O	
with	with	IN	B-PP	O	
the	the	DT	B-NP	O	
optically	optically	RB	I-NP	O	
pure	pure	JJ	I-NP	O	
aminomethylpyrrolidine-derivative	aminomethylpyrrolidine-derivative	NN	I-NP	O	
.	.	.	O	O	
Demethylation	Demethylation	NN	B-NP	O	
of	of	IN	B-PP	O	
epidepride	epidepride	NN	B-NP	O	
gave	give	VBD	B-VP	O	
the	the	DT	B-NP	O	
desmethyl-derivative	desmethyl-derivative	NN	I-NP	O	
,	,	,	O	O	
which	which	WDT	B-NP	O	
was	be	VBD	B-VP	O	
reacted	react	VBN	I-VP	O	
with	with	IN	B-PP	O	
[	[	(	B-NP	O	
11C	11C	NN	I-NP	O	
]	]	)	I-NP	O	
methyl	methyl	NN	I-NP	O	
triflate	triflate	NN	I-NP	O	
.	.	.	O	O	
Total	Total	JJ	B-NP	O	
radiochemical	radiochemical	JJ	I-NP	O	
yield	yield	NN	I-NP	O	
was	be	VBD	B-VP	O	
40-50	40-50	CD	B-NP	O	
%	%	NN	I-NP	O	
within	within	IN	B-PP	O	
a	a	DT	B-NP	O	
total	total	JJ	I-NP	O	
synthesis	synthesis	NN	I-NP	O	
time	time	NN	I-NP	O	
of	of	IN	B-PP	O	
30	30	CD	B-NP	O	
min	min	NN	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	
specific	specific	JJ	I-NP	O	
radioactivity	radioactivity	NN	I-NP	O	
at	at	IN	B-PP	O	
the	the	DT	B-NP	O	
end	end	NN	I-NP	O	
of	of	IN	B-PP	O	
synthesis	synthesis	NN	B-NP	O	
was	be	VBD	B-VP	O	
37-111	37-111	CD	B-NP	O	
GBq/micromol	GBq/micromol	NN	I-NP	O	
(	(	(	O	O	
1	1	CD	B-NP	O	
,	,	,	I-NP	O	
000-3	000-3	CD	I-NP	O	
,	,	,	I-NP	O	
000	000	CD	I-NP	O	
Ci/mmol	Ci/mmol	NN	I-NP	O	
)	)	)	O	O	
.	.	.	O	O	
Human	Human	JJ	B-NP	O	
postmortem	postmortem	JJ	I-NP	O	
whole-hemisphere	whole-hemisphere	JJ	I-NP	O	
autoradiography	autoradiography	NN	I-NP	O	
demonstrated	demonstrate	VBD	B-VP	O	
dense	dense	JJ	B-NP	O	
binding	binding	NN	I-NP	O	Mention 104	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
caudate	caudate	JJ	I-NP	O	
putamen	putaman	NNS	I-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
also	also	RB	B-ADVP	O	
in	in	IN	B-PP	O	
extrastriatal	extrastriatal	JJ	B-NP	O	
areas	area	NNS	I-NP	O	
such	such	JJ	B-PP	O	
as	as	IN	I-PP	O	
the	the	DT	B-NP	O	
thalamus	thalamus	NN	I-NP	O	
and	and	CC	O	O	
the	the	DT	B-NP	O	
neocortex	neocortex	NN	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	Mention 105	
binding	binding	NN	I-NP	O	
was	be	VBD	B-VP	O	
inhibited	inhibit	VBN	I-VP	O	
by	by	IN	B-PP	O	
unlabeled	unlabeled	JJ	B-NP	O	
raclopride	raclopride	NN	I-NP	O	Mention 106	
.	.	.	O	O	
PET	PET	NN	B-NP	O	
studies	study	NNS	I-NP	O	
in	in	IN	B-PP	O	
a	a	DT	B-NP	O	
cynomolgus	cynomolgus	NN	I-NP	O	
monkey	monkey	NN	I-NP	O	
demonstrated	demonstrate	VBD	B-VP	O	
high	high	JJ	B-NP	O	
uptake	uptake	NN	I-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
striatum	striatum	NN	I-NP	O	
and	and	CC	B-PP	O	
in	in	IN	B-PP	O	
several	several	JJ	B-NP	O	
extrastriatal	extrastriatal	JJ	I-NP	O	
regions	region	NNS	I-NP	O	
.	.	.	O	O	
At	At	IN	B-PP	O	
90	90	CD	B-NP	O	
min	min	NN	I-NP	O	
after	after	IN	B-PP	O	
injection	injection	NN	B-NP	O	
,	,	,	O	O	
uptake	uptake	NN	B-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
striatum	striatum	NN	I-NP	O	
,	,	,	I-NP	O	
thalamus	thalamus	NN	I-NP	O	
and	and	CC	I-NP	O	
neocortex	neocortex	NN	I-NP	O	
was	be	VBD	B-VP	O	
about	about	RB	B-NP	O	
11	11	CD	I-NP	O	
,	,	,	I-NP	O	
4	4	CD	I-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
2	2	CD	B-NP	O	
times	time	NNS	I-NP	O	
higher	high	JJR	I-ADJP	O	
than	than	IN	B-PP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
cerebellum	cerebellum	NN	I-NP	O	
,	,	,	O	O	
respectively	respectively	RB	B-ADVP	O	
.	.	.	O	O	
Pretreatment	Pretreatment	NN	B-NP	O	
experiment	experiment	NN	I-NP	O	
with	with	IN	B-PP	O	
unlabeled	unlabeled	JJ	B-NP	O	
raclopride	raclopride	NN	I-NP	O	Mention 107	
(	(	(	O	O	
1	1	CD	B-NP	O	
mg/kg	mg/kg	NN	I-NP	O	
)	)	)	O	O	
inhibited	inhibit	VBD	B-VP	O	
50-70	50-70	CD	B-NP	O	
%	%	NN	I-NP	O	
of	of	IN	B-PP	O	
[	[	(	B-NP	O	Mention 108	
11C	11C	NN	I-NP	O	
]	]	)	I-NP	O	
epidepride	epidepride	NN	I-NP	O	
binding	binding	NN	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	
fraction	fraction	NN	I-NP	O	
of	of	IN	B-PP	O	
unchanged	unchanged	JJ	B-NP	O	
[	[	(	I-NP	O	
11C	11C	NN	I-NP	O	
]	]	)	I-NP	O	
epidepride	epidepride	NN	I-NP	O	
in	in	IN	B-PP	O	
monkey	monkey	NN	B-NP	O	
plasma	plasma	NN	I-NP	O	
determined	determine	VBN	B-VP	O	
by	by	IN	B-PP	O	
a	a	DT	B-NP	O	
gradient	gradient	NN	I-NP	O	
high	high	JJ	I-NP	O	
performance	performance	NN	I-NP	O	
liquid	liquid	NN	I-NP	O	
chromatography	chromatography	NN	I-NP	O	
(	(	(	O	O	
HPLC	HPLC	NN	B-NP	O	
)	)	)	O	O	
method	method	NN	B-NP	O	
was	be	VBD	B-VP	O	
about	about	RB	B-NP	O	
30	30	CD	I-NP	O	
%	%	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
total	total	JJ	I-NP	O	
radioactivity	radioactivity	NN	I-NP	O	
at	at	IN	B-PP	O	
30	30	CD	B-NP	O	
min	min	NN	I-NP	O	
after	after	IN	B-PP	O	
injection	injection	NN	B-NP	O	
of	of	IN	B-PP	O	
[	[	(	B-NP	O	
11C	11C	NN	I-NP	O	
]	]	)	I-NP	O	
epidepride	epidepride	NN	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	
availability	availability	NN	I-NP	O	
of	of	IN	B-PP	O	
[	[	(	O	O	
11C	11C	NN	B-NP	O	
]	]	)	O	O	
epidepride	epidepride	NN	B-NP	O	
allows	allow	VBZ	B-VP	O	
the	the	DT	B-NP	O	
PET-verification	PET-verification	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
data	datum	NNS	I-NP	O	
obtained	obtain	VBN	B-VP	O	
from	from	IN	B-PP	O	
quantitation	quantitation	NN	B-NP	O	
studies	study	NNS	I-NP	O	
with	with	IN	B-PP	O	
SPECT	SPECT	NN	B-NP	B-protein	
.	.	.	O	O	
p27Kip1	p27Kip1	NN	B-NP	B-DNA	Mention 109	
is	be	VBZ	B-VP	O	
a	a	DT	B-NP	O	
member	member	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
Cip/Kip	Cip/Kip	NN	I-NP	B-protein	Mention 110	
family	family	NN	I-NP	I-protein	
of	of	IN	B-PP	O	
cyclin-dependent	cyclin-dependent	JJ	B-NP	B-protein	Mention 111	
kinase	kinase	NN	I-NP	I-protein	
inhibitors	inhibitor	NNS	I-NP	O	
.	.	.	O	O	
It	It	PRP	B-NP	O	Mention 112	
binds	bind	VBZ	B-VP	O	
to	to	TO	B-PP	O	
a	a	DT	B-NP	O	
variety	variety	NN	I-NP	O	
of	of	IN	B-PP	O	
cyclin/CDK	cyclin/CDK	NN	B-NP	B-protein	
complexes	complex	NNS	I-NP	I-protein	
,	,	,	O	O	
inhibits	inhibit	VBZ	B-VP	O	
kinase	kinase	NN	B-NP	O	Mention 113	
activity	activity	NN	I-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
blocks	block	VBZ	B-VP	O	
the	the	DT	B-NP	O	
cell	cell	NN	I-NP	O	
cycle	cycle	NN	I-NP	O	
.	.	.	O	O	
Absent	Absent	JJ	B-NP	O	
or	or	CC	I-NP	O	
reduced	reduce	VBN	I-NP	O	
p27	p27	NN	I-NP	B-protein	
expression	expression	NN	I-NP	O	
has	have	VBZ	B-VP	O	
been	be	VBN	I-VP	O	
shown	show	VBN	I-VP	O	
to	to	TO	I-VP	O	
be	be	VB	I-VP	O	
a	a	DT	B-NP	O	
significant	significant	JJ	I-NP	O	
predictor	predictor	NN	I-NP	O	
of	of	IN	B-PP	O	
poor	poor	JJ	B-NP	O	
survival	survival	NN	I-NP	O	
in	in	IN	B-PP	O	
breast	breast	NN	B-NP	O	
,	,	,	O	O	
colorectal	colorectal	JJ	B-NP	O	
,	,	,	I-NP	O	
prostate	prostate	NN	I-NP	O	
,	,	,	O	O	
non-small	non-small	JJ	B-NP	O	
cell	cell	NN	I-NP	O	
lung	lung	NN	I-NP	O	
and	and	CC	I-NP	O	
esophagus	esophagus	NN	I-NP	O	
carcinomas	carcinoma	NNS	I-NP	O	
.	.	.	O	O	
An	An	DT	B-NP	O	
immunohistochemical	immunohistochemical	JJ	I-NP	O	
assay	assay	NN	I-NP	O	
was	be	VBD	B-VP	O	
performed	perform	VBN	I-VP	O	
on	on	IN	B-PP	O	
169	169	CD	B-NP	O	
patients	patient	NNS	I-NP	O	
with	with	IN	B-PP	O	
primary	primary	JJ	B-NP	O	
breast	breast	NN	I-NP	O	
cancers	cancer	NNS	I-NP	O	
to	to	TO	B-VP	O	
evaluate	evaluate	VB	I-VP	O	
the	the	DT	B-NP	O	
biologic	biologic	JJ	I-NP	O	
significance	significance	NN	I-NP	O	
of	of	IN	B-PP	O	
p27	p27	NN	B-NP	B-protein	
expression	expression	NN	I-NP	O	
.	.	.	O	O	
Decreased	Decrease	VBN	B-NP	O	
p27	p27	NN	I-NP	B-protein	
expression	expression	NN	I-NP	O	
was	be	VBD	B-VP	O	
significantly	significantly	RB	I-VP	O	
associated	associate	VBN	I-VP	O	
with	with	IN	B-PP	O	
high	high	JJ	B-NP	O	
grade	grade	NN	I-NP	O	
(	(	(	O	O	
P	P	NN	B-NP	O	
=	=	SYM	B-VP	O	
0	0	CD	B-NP	O	
.	.	.	O	O	
00025	00025	CD	B-NP	O	
)	)	)	O	O	
,	,	,	O	O	
negative	negative	JJ	B-NP	B-protein	
estrogen	estrogen	NN	I-NP	I-protein	
receptor	receptor	NN	I-NP	I-protein	
(	(	(	O	O	
P	P	NN	B-NP	O	
=	=	SYM	B-VP	O	
0	0	CD	B-NP	O	
.	.	.	O	O	
00004	00004	CD	B-NP	O	
)	)	)	O	O	
,	,	,	O	O	
and	and	CC	O	O	
negative	negative	JJ	B-NP	O	
progesterone	progesterone	NN	I-NP	B-protein	
receptor	receptor	NN	I-NP	I-protein	
(	(	(	O	O	
P	P	NN	B-NP	O	
=	=	SYM	B-VP	O	
0	0	CD	B-NP	O	
.	.	.	O	O	
0038	0038	LS	B-LST	O	
)	)	)	O	O	
breast	breast	NN	B-NP	O	
cancers	cancer	NNS	I-NP	O	
.	.	.	O	O	
Univariate	Univariate	JJ	B-NP	O	
analysis	analysis	NN	I-NP	O	
reveals	reveal	VBZ	B-VP	O	
that	that	IN	B-SBAR	O	
p27	p27	NN	B-NP	B-protein	
expression	expression	NN	I-NP	O	
inversely	inversely	RB	B-ADVP	O	
correlated	correlate	VBD	B-VP	O	
significantly	significantly	RB	B-ADVP	O	
with	with	IN	B-PP	O	
overall	overall	JJ	B-NP	O	
survival	survival	NN	I-NP	O	
(	(	(	O	O	
P	P	NN	B-NP	O	
